,symbol,date,enterpriseValue
9174,HTA.AX,2019-12-31,-108057000.0
9175,HTBI,2019-12-31,498260241.30999994
9176,HTBK,2019-12-31,315985202.15
9177,HTBX,2019-12-31,18455480.2
9178,HTCF.L,2019-12-31,-2425359.0
9179,HTG.AX,2019-06-30,1134391.4714759998
9180,HTG.L,2019-12-31,-124200000.0
9181,HTGC,2019-12-31,2703670680.0
9182,HTGM,2019-12-31,47566375.5
9183,HTH,2019-12-31,2756976580.0
9184,HTHT,2019-12-31,26684154552.9
9185,HTIA,2019-12-31,3348229696.393359
9186,HTLD,2019-12-31,1649942167.975
9187,HTLF,2019-12-31,1814835861.1285558
9188,HTMEDIA.NS,2019-09-30,15951642856.099998
9189,HTSC.L,2019-12-31,-191889469882.02
9190,HTWS.L,2019-12-31,481700000.0
9191,HTZ,2019-12-31,18017500000.0
9192,HUB.AX,2019-06-30,727319267.12
9193,HUBB,2019-12-31,9390026380.1
9194,HUBG,2019-12-31,1804542780.0
9195,HUBN.SW,2019-12-31,-191002000.0
9196,HUBS,2019-12-31,6861668000.0
9197,HUBTOWN.NS,2019-09-30,10015595425.0
9198,HUD,2019-12-31,2651545334.2
9199,HUDCO.NS,2019-09-30,671405352469.888
9200,HUGE,2019-12-31,30733390.690000005
9201,HUM,2019-12-31,49684672103.017
9202,HUM.L,2019-12-31,5750000.0
9203,HUN,2019-12-31,7300000000.0
9204,HUNT.L,2019-12-31,3143000.0
9205,HUO.AX,2019-06-30,521711745.46500003
9206,HUR.L,2019-12-31,50013000.0
9207,HURC,2020-01-31,159658293.219
9208,HURN,2019-12-31,1712593720.0
9209,HUSA,2019-12-31,13335940.625
9210,HUSN,2019-12-31,24687980.23
9211,HUT.TO,2019-12-31,120364546.24000001
9212,HUW.L,2019-12-31,-1028000.0
9213,HUYA,2019-12-31,-3594922254.5
9214,HVBC,2019-12-31,41287713.0
9215,HVN.AX,2019-06-30,4847490378.7682
9216,HVPE.L,2020-01-31,146496908136.0
9217,HVT,2019-12-31,352741640.0
9218,HVT.L,2019-10-31,-51000.0
9219,HWBK,2019-12-31,278941400.0
9220,HWC,2019-12-31,6264556529.3281555
9221,HWCC,2019-12-31,151333454.94
9222,HWDN.L,2019-12-31,-267400000.0
9223,HWG.L,2019-12-31,68069000.0
9224,HWH.AX,2019-06-30,9766224.299999999
9225,HWK.AX,2019-06-30,9692921.212
9226,HWKN,2019-12-29,530592093.00000006
9227,HWM,2019-12-31,19276990000.0
9228,HWO.TO,2019-12-31,105373680.66
9229,HWSL.L,2019-12-31,-5120761.0
9230,HWX.TO,2019-12-31,43474680.0
9231,HX,2019-09-30,80424412.8
9232,HXCK.DE,2019-12-31,37030000.0
9233,HXG.AX,2019-06-30,23224345.318
9234,HXL,2019-12-31,7180463831.2
9235,HY,2019-12-31,1197327343.334
9236,HYAC,2019-12-31,505742216.88
9237,HYACU,2019-12-31,99188148.01
9238,HYB,2019-12-31,212330239.60000002
9239,HYBG,2011-09-30,1719820.75
9240,HYBT,2019-12-31,5000926.75
9241,HYD.AX,2019-06-30,15745838.09
9242,HYDG.L,2019-12-31,-4620000.0
9243,HYDR.ME,2019-12-31,348786266100.0
9244,HYDRA.AS,2019-12-31,23678000.0
9245,HYG.L,2019-12-31,-3909000.0
9246,HYGS,2019-06-30,214649420.0
9247,HYH,2018-03-31,338900000.0
9248,HYI,2019-11-30,344537500.0
9249,HYLN,2019-12-31,57044812.49999999
9250,HYMC,2019-12-31,269151460.0
9251,HYQ.DE,2019-12-31,2040839000.0
9252,HYQ.SW,2019-12-31,1662899000.0
9253,HYR.L,2019-06-30,-179000.0
9254,HYRE,2019-12-31,32540528.47
9255,HYSR,2019-12-31,7028351.248
9256,HYVE.L,2019-09-30,94178000.0
9257,HZD.L,2019-12-31,-16906000.0
9258,HZM.L,2019-12-31,5574598310.7
9259,HZM.TO,2019-12-31,104115321.54
9260,HZN,2019-12-31,286191984.12
9261,HZN.AX,2019-06-30,180410336.99899998
9262,HZNP,2019-12-31,8118302618.000001
9263,HZO,2019-12-31,656165824.6600001
9264,HZR.AX,2019-06-30,18246088.62
9265,I,2019-12-31,14110437000.0
9266,I7N.DE,2019-06-30,-643686.0
9267,IAA,2019-12-29,7490950000.0
9268,IAC,2019-12-31,7811689032.8
9269,IAG,2019-12-31,1370059000.0
9270,IAG.AX,2019-06-30,20987360000.0
9271,IAG.L,2019-12-31,1243043910625.0
9272,IAG.TO,2019-12-31,8262310000.0
9273,IAIC,2019-12-31,418094.0
9274,IAM,2018-08-31,0.0
9275,IAM.AX,2019-06-30,192002626.4
9276,IAM.PA,2019-12-31,1459000000.0
9277,IAP.AX,2019-09-30,309791000.0
9278,IART,2019-12-31,6153653600.0
9279,IAT.L,2019-10-31,0.0
9280,IAU,2019-12-31,0.0
9281,IBA,2019-12-31,-11781938333337.84
9282,IBAB.BR,2019-12-31,-13234000.0
9283,IBAL,2020-01-31,3557537.0
9284,IBB,2015-03-31,3285480400.3
9285,IBC.AX,2019-06-30,75618720.55
9286,IBCP,2019-12-31,546655130.15
9287,IBE1.DE,2019-12-31,87171693864.0
9288,IBG.AX,2019-06-30,12343100.941
9289,IBG.TO,2019-12-31,255700600.0
9290,IBIO,2019-12-31,5592250.0
9291,IBKC,2019-12-31,8261137153.67
9292,IBKR,2019-12-31,16500919704.819149
9293,IBM,2019-12-31,173329877790.3
9294,IBM.DE,2019-12-31,154098166774.2
9295,IBM.L,2019-12-31,164942962500.0
9296,IBM.SW,2019-12-31,166063300190.0
9297,IBN,2019-09-30,1285757860000.0
9298,IBOC,2019-12-31,3306923268.23
9299,IBP,2019-12-31,2442636690.76
9300,IBPO.L,2019-09-30,-39306164.0
9301,IBREALEST.NS,2019-09-30,37500703293.371124
9302,IBS.LS,2019-12-31,308942047.0
9303,IBST.L,2019-12-31,84456000.0
9304,IBT.L,2019-08-31,-886000.0
9305,IBTX,2019-12-31,2391428260.488299
9306,IBU.DE,2019-12-31,14559077.02
9307,IBULHSGFIN.NS,2019-09-30,-3546963298.5759583
9308,IBULISL.NS,2019-09-30,14267029505.008808
9309,IBVENTURES.NS,2019-09-30,117457465905.75476
9310,IBX.AX,2019-12-31,-3401713.0
9311,IC2.DE,2019-12-31,50835000000.0
9312,IC8.DE,2019-12-31,85203000.0
9313,ICAD,2019-12-31,154698400.0
9314,ICAD.PA,2019-12-31,4090200000.0
9315,ICBK,2019-12-31,134338110.088505
9316,ICCC,2019-12-31,29979373.000000004
9317,ICCH,2019-12-31,39301630.73
9318,ICCT,2019-12-31,53140029.1
9319,ICD,2019-12-31,208288718.0
9320,ICE,2019-12-31,57124801668.0
9321,ICE.TO,2019-12-31,106779984.8
9322,ICF,2015-04-30,1829258788.45
9323,ICFI,2019-12-31,1884624756.5049999
9324,ICGC.L,2019-12-31,89300000.0
9325,ICGT.L,2020-01-31,-14470000.0
9326,ICHR,2019-12-27,893268992.5
9327,ICI.AX,2019-12-31,1001107.0
9328,ICICIBANK.NS,2019-12-31,4584829420355.981
9329,ICICIGI.NS,2019-12-31,634256044188.973
9330,ICICIPRULI.NS,2019-12-31,687730955023.1775
9331,ICIL.NS,2019-09-30,8206399802.0
9332,ICL,2019-12-31,8623265482.4
9333,ICLD,2018-09-30,24683107.25
9334,ICLK,2019-12-31,104183918.4
9335,ICLR,2019-12-31,9160003199.5
9336,ICMB,2019-12-31,245123616.17078
9337,ICN.AX,2019-06-30,726206.0079999994
9338,ICON,2019-12-31,606073600.0
9339,ICON.L,2019-12-31,-26914.0
9340,ICP.L,2019-09-30,-353100000.0
9341,ICPT,2019-12-31,4524120600.0
9342,ICQ.AX,2019-12-31,-6833304.0
9343,ICRA.NS,2019-09-30,32062248632.0
9344,ICS.AX,2019-06-30,7683325.82
9345,ICT.AS,2019-12-31,7999000.0
9346,ICT.AX,2019-06-30,32278866.104000002
9347,ICTSF,2019-12-31,-47693000.0
9348,ICUI,2019-12-31,3603404160.0
9349,ID8.AX,2019-06-30,31686870.6
9350,IDA,2019-12-31,7014620751.551001
9351,IDA.AX,2019-06-30,1437403.44541
9352,IDBI.NS,2019-12-31,90883821775.0
9353,IDCC,2019-12-31,1384043371.8379998
