,symbol,date,returnOnCapitalEmployed
1,SRC,2019-12-31,0.03280296599638787
2,SRC,2018-12-31,0.02999729933279052
3,SRC,2017-12-31,0.0017479568751096338
4,SRC,2016-12-31,0.004016205291710495
5,SRC,2015-12-31,0.0032700342212575785
0,NFX,2017-12-31,0.09316920106203234
1,NFX,2016-12-31,-0.33296582138919517
2,NFX,2015-12-31,-1.2004367871875758
3,NFX,2014-12-31,0.12145463104625162
0,COP,2019-12-31,0.15005278000976824
1,COP,2018-12-31,0.15935128225613165
2,COP,2017-12-31,-0.0408817321972954
3,COP,2016-12-31,-0.06673666171874057
4,COP,2015-12-31,-0.08204878269936981
5,COP,2014-12-31,0.08942686805965601
0,CHK,2019-12-31,-0.04630099268168973
1,CHK,2018-12-31,0.10678655006774233
2,CHK,2017-12-31,0.09484556559737808
3,CHK,2016-12-31,-0.4892324093816631
4,CHK,2015-12-31,-1.396869514335869
5,CHK,2014-12-31,0.09172208209126347
0,DIS,2020-10-03,-0.00996449825921416
1,DIS,2019-09-28,0.08573378503839697
2,DIS,2018-09-30,0.18242958705937726
3,DIS,2018-09-29,0.18242958705937726
4,DIS,2017-09-30,0.18095913064020788
5,DIS,2016-10-01,0.19773643122182177
0,LEN,2020-11-30,0.11080740663700535
1,LEN,2019-11-30,0.08684574627829988
2,LEN,2018-11-30,0.08360125124546498
3,LEN,2017-11-30,0.06755450961365152
4,LEN,2016-11-30,0.09078442573776944
5,LEN,2015-11-30,0.0874934422376962
0,CVX,2020-12-31,-0.03424981733124394
1,CVX,2019-12-31,0.02624965623192254
2,CVX,2018-12-31,0.09076191484481146
3,CVX,2017-12-31,0.040788431850452736
4,CVX,2016-12-31,-0.009461525320531072
5,CVX,2015-12-31,0.020205392277550815
0,PYPL,2020-12-31,0.1586183139170738
1,PYPL,2019-12-31,0.12279839436388958
2,PYPL,2018-12-31,0.13633233876520542
3,PYPL,2017-12-31,0.12282954608899559
4,PYPL,2016-12-31,0.10052388289676426
5,PYPL,2015-12-31,0.09748427672955975
0,CTRP,2018-12-31,0.029159475761663733
1,CTRP,2017-12-31,0.039357750795313916
2,CTRP,2016-12-31,-0.0017876096231971446
3,CTRP,2015-12-31,0.038511446433960074
4,CTRP,2014-12-31,0.02897652130800235
5,CTRP,2013-12-31,0.09336057287239509
0,AUY,2019-12-31,0.04625268304316718
1,AUY,2018-12-31,-0.023508281780083816
2,AUY,2017-12-31,-0.03983664470222734
3,AUY,2017-03-28,
4,AUY,2016-12-31,-0.07394374654721014
5,AUY,2015-12-31,-0.3060940285204991
0,WMT,2020-01-31,0.12675089001606754
1,WMT,2019-01-31,0.08080779590743065
2,WMT,2018-01-31,0.12002285696145269
3,WMT,2017-01-31,0.15540156334109193
4,WMT,2016-01-31,0.16032661045331278
5,WMT,2015-01-31,0.17913951774852999
0,CLF,2020-12-31,-0.013943071810432018
1,CLF,2019-12-31,0.10085961737331954
2,CLF,2018-12-31,0.18445809106944536
3,CLF,2017-12-31,0.0517351671197825
4,CLF,2016-12-31,0.13504697286012526
5,CLF,2015-12-31,0.20150598532629682
0,MRK,2020-12-31,0.0
1,MRK,2019-12-31,0.1843768596104669
2,MRK,2018-12-31,0.14398239314259237
3,MRK,2017-12-31,0.09415518784833521
4,MRK,2016-12-31,0.05959858263083162
5,MRK,2015-12-31,0.06540641348575857
0,MDLZ,2020-12-31,0.06425329053579229
1,MDLZ,2019-12-31,0.0700225486013773
2,MDLZ,2018-12-31,0.06179335536615063
3,MDLZ,2017-12-31,0.06602417786795164
4,MDLZ,2016-12-31,0.030856730544767726
5,MDLZ,2015-12-31,0.1518460738429537
0,RSPP,2017-12-31,0.018884413201673916
1,RSPP,2016-12-31,-0.008910718516054513
2,RSPP,2015-12-31,-0.010315388249271492
3,RSPP,2014-12-31,0.07421804467416637
0,MGM,2020-12-31,-0.061790894663232496
1,MGM,2019-12-31,0.0927727298606127
2,MGM,2018-12-31,0.023256184179018983
